First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
Brenda,Other,01/20/2021,22:18 AM,37610,5.326,True,Client Services
Andrew,Other,11/06/2016,16:08 PM,156224,7.101,True,Finance
Christine,Male,05/28/2010,00:26 PM,56875,8.738,True,Distribution
Charles,Male,10/26/2016,22:12 AM,105712,2.298,False,Finance
Eric,Male,04/07/2017,23:12 PM,72948,14.906,True,Distribution
Edward,Female,05/31/2013,08:06 AM,108223,3.705,False,Finance
Daniel,Male,08/11/2018,06:48 PM,51368,1.543,False,Human Resources
Eric,Female,01/08/2013,21:16 PM,68614,4.21,False,Business Development
Eric,Female,12/22/2018,08:45 AM,133452,7.52,True,Human Resources
Janet,Other,06/22/2013,04:09 AM,158221,5.463,True,Engineering
Donna,Male,01/22/2018,10:13 AM,59464,11.473,True,Sales
Karen,Other,07/15/2012,13:17 AM,60327,19.702,False,Human Resources
Elizabeth,Female,11/05/2018,15:13 AM,102010,4.33,True,Sales
Christine,Other,03/22/2016,15:28 AM,81181,17.458,False,Engineering
Kevin,Male,08/09/2014,04:26 PM,141966,9.447,True,Product
Margaret,Male,02/11/2023,04:08 AM,129933,18.872,True,Finance
Jacob,Male,10/26/2017,13:59 PM,149068,5.502,False,Product
Timothy,Other,05/04/2014,22:27 AM,143181,16.709,True,Business Development
Jennifer,Female,10/20/2017,07:04 PM,98489,16.004,True,Finance
Helen,Female,09/23/2015,07:02 AM,88576,19.167,True,Business Development
Frank,Female,01/03/2011,11:50 PM,141329,13.346,False,Marketing
James,Female,08/23/2018,20:40 AM,119011,4.168,False,Sales
James,Male,06/27/2010,05:10 AM,105071,9.486,False,Human Resources
Gregory,Male,02/18/2018,01:42 PM,88573,16.182,False,Marketing
Rachel,Other,03/12/2014,18:26 AM,135451,5.873,False,Distribution
Brenda,Female,06/08/2017,05:19 PM,131491,10.122,False,Product
Rebecca,Other,12/24/2011,14:39 AM,70859,8.348,True,Finance
William,Male,12/11/2015,12:45 PM,107671,16.062,True,Client Services
Jack,Male,08/05/2015,03:23 AM,44565,10.52,True,Finance
Paul,Male,07/30/2012,16:55 AM,47616,4.603,False,Sales
Daniel,Female,11/17/2013,10:59 PM,91689,11.044,True,Marketing
Richard,Male,05/28/2018,08:46 PM,52048,19.838,False,Engineering
Patricia,Female,10/25/2015,10:20 PM,125876,18.175,False,Product
Amy,Other,04/19/2018,09:34 AM,59679,19.003,True,Legal
Carol,Male,11/15/2013,09:14 PM,130565,14.065,True,Marketing
Sandra,Other,07/28/2016,19:44 AM,77604,2.616,True,Distribution
Daniel,Other,12/05/2016,09:52 AM,86211,12.454,True,Sales
Brian,Male,12/31/2020,03:50 PM,145929,9.745,True,Human Resources
Ruth,Female,07/29/2017,07:55 PM,147878,15.842,True,Client Services
Katherine,Female,12/23/2012,19:02 AM,41397,3.009,True,Engineering
Steven,Other,07/12/2017,02:18 PM,112779,10.817,False,Marketing
Steven,Other,01/02/2013,03:57 AM,159625,4.169,False,Finance
Rebecca,Male,08/29/2022,05:16 AM,43105,14.781,False,Marketing
Susan,Female,11/01/2012,14:56 PM,65131,3.039,True,Business Development
Anthony,Female,03/04/2021,01:59 PM,102522,9.37,True,Finance
Michelle,Male,07/29/2020,20:35 PM,142852,9.796,False,Finance
Michelle,Female,06/03/2016,05:47 PM,141607,5.991,True,Business Development
Rachel,Other,02/24/2011,02:03 AM,103144,13.792,True,Client Services
Elizabeth,Male,08/27/2019,18:16 AM,137495,11.103,True,Sales
Helen,Female,05/29/2021,15:41 PM,148267,18.388,False,Sales
Janet,Female,03/22/2018,22:49 PM,91070,4.9,False,Legal
Sarah,Other,01/28/2016,13:12 AM,101062,8.427,True,Marketing
Nancy,Female,10/27/2011,15:34 PM,149913,15.269,False,Engineering
Kenneth,Other,01/27/2014,06:43 PM,135957,2.145,False,Product
Stephanie,Female,02/14/2021,18:50 AM,103121,3.583,False,Marketing
Dennis,Male,05/10/2023,09:23 AM,140300,5.703,False,Client Services
Susan,Male,01/05/2020,17:20 AM,65020,17.543,False,Distribution
Charles,Male,10/27/2020,04:14 PM,95269,14.037,False,Marketing
Samantha,Other,12/09/2012,23:17 PM,123109,17.304,False,Business Development
Brandon,Other,08/10/2021,19:08 AM,95619,5.135,False,Distribution
Debra,Female,06/20/2022,20:17 AM,88302,2.892,True,Legal
Christine,Female,04/08/2020,04:12 AM,136837,2.54,True,
Steven,Male,03/03/2014,17:03 PM,108288,17.331,False,Business Development  
