Name,Team,Position,Height,Weight,College,Salary
James Johnson,Titans,DT,6'4",324 lbs,Florida,13686782
Robert Martin,Vikings,RB,5'10",195 lbs,Alabama,3495171
John Smith,Warriors,QB,6'2",241 lbs,USC,11952947
Joseph Brown,Panthers,C,6'4",325 lbs,Clemson,7846836
John Hernandez,Lions,OT,6'8",334 lbs,USC,24728044
David Gonzalez,Warriors,K,6'0",200 lbs,Georgia,1515594
Daniel Brown,Eagles,DT,6'8",323 lbs,Texas,3692259
Steven Miller,Spartans,S,6'3",210 lbs,USC,12004903
Joshua Taylor,Eagles,RB,6'0",185 lbs,Georgia,24385743
Andrew Jackson,Bears,OG,6'2",302 lbs,Notre Dame,1044558
William Rodriguez,Vikings,P,6'1",187 lbs,Notre Dame,15358238
William Wilson,Lions,RB,6'2",208 lbs,Georgia,12198976
Christopher Wilson,Titans,TE,6'1",239 lbs,Florida,20217181
William Johnson,Warriors,WR,5'10",205 lbs,Clemson,1037176
Joshua Gonzalez,Warriors,LB,6'0",254 lbs,Notre Dame,6013703
Christopher Garcia,Warriors,LB,6'6",258 lbs,Florida,10792103
Anthony Garcia,Eagles,DE,6'4",243 lbs,USC,4976929
Steven Rodriguez,Eagles,S,6'3",205 lbs,Georgia,19624852
James Jackson,Bears,P,6'2",190 lbs,USC,1686040
James Hernandez,Spartans,K,5'10",197 lbs,Alabama,16257607
Christopher Jones,Bears,QB,6'4",245 lbs,LSU,15583816
Paul Wilson,Titans,TE,6'2",260 lbs,Alabama,12348375
Steven Martinez,Lions,CB,5'9",215 lbs,Clemson,7470308
Charles Garcia,Titans,C,6'8",324 lbs,Texas,17002561
Charles Garcia,Spartans,S,5'10",192 lbs,Michigan,10317269
Richard Smith,Eagles,TE,6'5",238 lbs,Alabama,2896018
Paul Brown,Spartans,WR,6'1",193 lbs,Ohio State,7374708
Daniel Davis,Bears,OT,6'3",315 lbs,USC,11726742
John Hernandez,Eagles,OG,6'3",339 lbs,Notre Dame,23968090
Richard Lopez,Panthers,DE,6'0",241 lbs,Texas,14869056
Anthony Davis,Bears,QB,6'2",230 lbs,Notre Dame,16731080
David Williams,Titans,OT,6'4",316 lbs,Alabama,16961701
William Garcia,Warriors,LB,6'5",230 lbs,Clemson,9237134
Christopher Brown,Warriors,DE,6'5",233 lbs,Alabama,18417007
Paul Martin,Lions,OT,6'6",319 lbs,Clemson,11838740
Michael Martinez,Eagles,RB,6'1",204 lbs,,11393115
James Johnson,Bears,QB,6'1",233 lbs,Notre Dame,18876454
Joseph Williams,Titans,OG,6'2",324 lbs,Clemson,23424683
Donald Hernandez,Warriors,TE,6'3",245 lbs,Ohio State,19581856
Michael Hernandez,Eagles,CB,6'1",203 lbs,Florida,
Richard Moore,Vikings,S,5'11",185 lbs,Georgia,12775677
Joseph Garcia,Titans,CB,5'9",196 lbs,Florida,5745406
David Rodriguez,Panthers,WR,6'3",189 lbs,USC,24636981
Joshua Rodriguez,Spartans,LB,6'5",238 lbs,Ohio State,
Christopher Wilson,Bears,S,6'0",215 lbs,Texas,7718602
Steven Rodriguez,,RB,5'10",186 lbs,Michigan,20530859
James Taylor,Titans,TE,6'5",236 lbs,Clemson,4454622
Donald Martin,Panthers,CB,6'3",205 lbs,Notre Dame,14579765
Thomas Jones,Bears,OG,6'7",,Clemson,
John Taylor,Lions,P,6'1",195 lbs,Georgia,10635358
Mark Martin,Spartans,C,6'6",331 lbs,Florida,12563040
David Brown,Vikings,LB,6'3",242 lbs,Florida,22378546
Steven Garcia,Warriors,LB,6'6",258 lbs,Georgia,5269553
Matthew Taylor,Eagles,LB,6'1",,Ohio State,5904139
Daniel Taylor,Spartans,S,6'1",190 lbs,Alabama,
,,,,,
